openyear,ry,g_2,g0,g1,g2
1995,-2,0.000149558,-2.00604E-05,-4.10581E-05,-0.000276481
1995,-1,-0.000940685,-0.000968934,-0.00098803,-0.001184887
1995,0,8.49022E-06,0.000950683,-1.78109E-05,-0.000208729
1995,1,1.02613E-05,3.1953E-06,0.000994949,-0.00018226
1995,2,-1.90268E-05,1.11907E-05,1.85954E-05,0.000107433
1995,3,-2.69518E-05,-2.35348E-06,7.583E-06,9.88989E-05
1995,4,-2.49993E-05,6.33423E-06,2.58871E-06,9.77763E-05
1995,5,-2.58121E-05,4.3307E-06,9.2723E-06,9.39203E-05
1995,6,-1.50833E-05,1.2767E-05,1.56157E-05,9.98268E-05
1995,7,-2.27998E-05,-2.11237E-06,9.439E-06,9.20665E-05
1995,8,-1.48125E-05,9.71899E-06,6.54246E-06,9.51674E-05
1995,9,-1.84664E-05,1.18612E-06,9.52643E-06,8.89463E-05
1995,10,-1.77805E-05,5.736E-06,5.29817E-06,8.94139E-05
1995,11,-1.88892E-05,3.88697E-06,8.13268E-06,8.67257E-05
1995,12,-1.5217E-05,8.39766E-06,1.09242E-05,8.99606E-05
1995,13,-1.65948E-05,3.25922E-06,1.04158E-05,8.78321E-05
1995,14,-1.63632E-05,4.82977E-06,6.65005E-06,8.75704E-05
1995,15,3.94272E-05,5.25624E-05,5.60665E-05,0.000131977
1995,16,2.71536E-05,-1.31784E-05,3.76961E-05,0.0001116
1995,17,3.17212E-05,1.97561E-06,-1.45364E-05,0.000106993
1995,18,4.12697E-05,3.62435E-06,3.66382E-06,9.11203E-05
1995,19,9.04811E-05,3.85918E-05,3.87835E-05,0.000113463
1995,20,8.39987E-05,-1.86751E-05,1.76797E-05,8.17362E-05
1995,21,7.79229E-05,-1.5932E-05,-3.8375E-05,5.26109E-05
1995,22,0.000102761,9.1052E-06,-1.10479E-05,3.9136E-05
1995,23,0.000121964,1.72744E-06,7.5891E-06,2.19245E-05
1995,24,0.000204691,5.58283E-05,5.30172E-05,6.3324E-05
1995,25,0.000111267,-0.000112046,-6.11902E-05,-6.3033E-05
1995,26,9.25148E-05,-3.56387E-05,-0.00015798,-0.000114034
1996,-3,0.000143184,-1.91368E-05,-3.92444E-05,-0.000263412
1996,-2,0.000146184,-1.85009E-05,-3.87085E-05,-0.000263424
1996,-1,-0.000947394,-0.000969147,-0.000986284,-0.001171954
1996,0,5.88892E-06,0.000954586,-1.39478E-05,-0.000193002
1996,1,1.37128E-05,6.10712E-06,0.001001301,-0.000166777
1996,2,-3.33259E-05,-1.42989E-06,9.3967E-06,0.000111968
1996,3,-3.13734E-05,7.25783E-06,4.40241E-06,0.000110845
1996,4,-3.21862E-05,5.2543E-06,1.1086E-05,0.000106989
1996,5,-2.14574E-05,1.36906E-05,1.74294E-05,0.000112895
1996,6,-2.91739E-05,-1.18877E-06,1.12527E-05,0.000105135
1996,7,-2.11866E-05,1.06426E-05,8.35616E-06,0.000108236
1996,8,-2.48405E-05,2.10972E-06,1.13401E-05,0.000102015
1996,9,-2.41546E-05,6.6596E-06,7.11187E-06,0.000102483
1996,10,-2.52632E-05,4.81057E-06,9.94638E-06,9.97943E-05
1996,11,-2.15911E-05,9.32125E-06,1.27379E-05,0.000103029
1996,12,-2.29689E-05,4.18281E-06,1.22295E-05,0.000100901
1996,13,-2.27372E-05,5.75337E-06,8.46375E-06,0.000100639
1996,14,3.30531E-05,5.3486E-05,5.78802E-05,0.000145046
1996,15,2.07795E-05,-1.22548E-05,3.95098E-05,0.000124669
1996,16,2.53471E-05,2.89921E-06,-1.27227E-05,0.000120062
1996,17,3.48956E-05,4.54794E-06,5.47752E-06,0.000104189
1996,18,8.4107E-05,3.95154E-05,4.05972E-05,0.000126532
1996,19,7.76247E-05,-1.77515E-05,1.94934E-05,9.48048E-05
1996,20,7.15488E-05,-1.50084E-05,-3.65613E-05,6.56795E-05
1996,21,9.63866E-05,1.00288E-05,-9.23416E-06,5.22046E-05
1996,22,0.00011559,2.65104E-06,9.4028E-06,3.49931E-05
1996,23,0.000198317,5.67519E-05,5.48309E-05,7.63926E-05
1996,24,0.000104893,-0.000111123,-5.93765E-05,-4.99644E-05
1996,25,8.61407E-05,-3.47151E-05,-0.000156166,-0.000100965
1997,-4,0.000684049,-9.10662E-05,-0.000187153,-0.001251718
1997,-3,0.000699049,-8.78866E-05,-0.000184474,-0.001251779
1997,-2,0.000697376,-9.35689E-05,-0.000184812,-0.001252458
1997,-1,-0.004749975,-0.004826222,-0.004912105,-0.00578114
1997,0,4.67023E-05,0.004787489,-3.79785E-05,-0.000887598
1997,1,-2.93123E-06,-3.25676E-05,0.004960511,-0.000811212
1997,2,-0.000188737,4.09071E-05,3.10806E-05,0.000619567
1997,3,-0.000192801,3.08895E-05,6.44985E-05,0.000600288
1997,4,-0.000139157,7.30712E-05,9.62155E-05,0.00062982
1997,5,-0.00017774,-1.32587E-06,6.5332E-05,0.000591018
1997,6,-0.000137803,5.78309E-05,5.08493E-05,0.000606523
1997,7,-0.000156073,1.51666E-05,6.57691E-05,0.000575417
1997,8,-0.000152643,3.7916E-05,4.46279E-05,0.000577756
1997,9,-0.000158187,2.86708E-05,5.88004E-05,0.000564315
1997,10,-0.000139826,5.12242E-05,7.27582E-05,0.000580489
1997,11,-0.000146715,2.5532E-05,7.02159E-05,0.000569847
1997,12,-0.000145557,3.33848E-05,5.13873E-05,0.000568538
1997,13,0.000133395,0.000272048,0.00029847,0.000790572
1997,14,7.20273E-05,-5.6656E-05,0.000206618,0.000688686
1997,15,9.48649E-05,1.9114E-05,-5.4545E-05,0.000665653
1997,16,0.000142608,2.73577E-05,3.64561E-05,0.000586287
1997,17,0.000388665,0.000202195,0.000212055,0.000698003
1997,18,0.000356253,-8.41395E-05,0.000106535,0.000539367
1997,19,0.000325874,-7.04241E-05,-0.000173738,0.00039374
1997,20,0.000450062,5.4762E-05,-3.71023E-05,0.000326366
1997,21,0.000546079,1.78732E-05,5.60825E-05,0.000240308
1997,22,0.000959716,0.000288377,0.000283223,0.000447306
1997,23,0.000492593,-0.000550995,-0.000287814,-0.000184479
1997,24,0.000398833,-0.000168957,-0.000771764,-0.000439484
1998,-5,0.001565229,-0.000207476,-0.000427404,-0.0028473
1998,-4,0.001738223,-0.000216725,-0.000456767,-0.003088738
1998,-3,0.001733874,-0.000231499,-0.000457646,-0.003090502
1998,-2,0.00178292,-0.00019277,-0.000431003,-0.003055949
1998,-1,-0.012301505,-0.01251055,-0.012689608,-0.014833691
1998,0,-6.09027E-05,0.012283176,-0.00021904,-0.002252809
1998,1,-6.15429E-05,4.00446E-05,0.012855269,-0.001957857
1998,2,-0.000580588,9.20927E-05,0.000190561,0.001726635
1998,3,-0.000441113,0.000201765,0.000273025,0.00180342
1998,4,-0.000541428,8.3328E-06,0.000192728,0.001702536
1998,5,-0.000437593,0.00016214,0.000155073,0.001742848
1998,6,-0.000485094,5.12132E-05,0.000193865,0.001661973
1998,7,-0.000476177,0.000110362,0.000138898,0.001668053
1998,8,-0.000490589,8.63242E-05,0.000175746,0.001633106
1998,9,-0.000412071,0.000134021,0.000196384,0.001549997
1998,10,-0.000460763,7.81634E-05,0.000205426,0.001647489
1998,11,-0.000457752,9.85806E-05,0.000156472,0.001644087
1998,12,0.000267523,0.000719104,0.000798886,0.002221375
1998,13,0.000107967,-0.000135526,0.000560071,0.001956472
1998,14,0.000167345,6.14765E-05,-0.000118952,0.001896586
1998,15,0.000291476,8.29101E-05,0.000117651,0.001690235
1998,16,0.000931224,0.000537487,0.000574207,0.001980695
1998,17,0.000846953,-0.000206983,0.000299857,0.001568242
1998,18,0.000767967,-0.000171323,-0.000428853,0.001189613
1998,19,0.001090858,0.000154161,-7.36009E-05,0.00101444
1998,20,0.001340502,5.82503E-05,0.00016868,0.000790689
1998,21,0.002415958,0.000761562,0.000759245,0.001328883
1998,22,0.001201438,-0.001420807,-0.000725451,-0.000313758
1998,23,0.000957662,-0.000427509,-0.001983721,-0.00097677
1999,-6,0.000124062,-1.6366E-05,-3.38033E-05,-0.000224206
1999,-5,0.000127062,-1.57301E-05,-3.32674E-05,-0.000224219
1999,-4,0.000126727,-1.68666E-05,-3.3335E-05,-0.000224354
1999,-3,0.0001305,-1.38874E-05,-3.12855E-05,-0.000221696
1999,-2,0.000140325,-1.18992E-05,-2.67471E-05,-0.000219282
1999,-1,-0.000960842,-0.000974953,-0.000985268,-0.001136211
1999,0,-9.38021E-06,0.000954488,-1.9975E-05,-0.000161039
1999,1,-1.21947E-05,2.01787E-06,0.000997419,-0.000141084
1999,2,-4.05796E-05,1.64614E-05,2.28705E-05,0.000152101
1999,3,-4.82962E-05,1.58202E-06,1.66938E-05,0.000144341
1999,4,-4.03089E-05,1.34134E-05,1.37973E-05,0.000147442
1999,5,-4.39628E-05,4.88051E-06,1.67812E-05,0.000141221
1999,6,-4.32769E-05,9.43039E-06,1.2553E-05,0.000141688
1999,7,-4.43855E-05,7.58136E-06,1.53875E-05,0.000139
1999,8,-4.07133E-05,1.2092E-05,1.8179E-05,0.000142235
1999,9,-4.20912E-05,6.9536E-06,1.76706E-05,0.000140107
1999,10,-4.18595E-05,8.52416E-06,1.39049E-05,0.000139845
1999,11,1.39308E-05,5.62568E-05,6.33214E-05,0.000184252
1999,12,1.65727E-06,-9.48401E-06,4.49509E-05,0.000163874
1999,13,6.22479E-06,5.67E-06,-7.28159E-06,0.000159268
1999,14,1.57733E-05,7.31873E-06,1.09186E-05,0.000143395
1999,15,6.49848E-05,4.22862E-05,4.60383E-05,0.000165738
1999,16,5.85024E-05,-1.49807E-05,2.49345E-05,0.000134011
1999,17,5.24265E-05,-1.22376E-05,-3.11201E-05,0.000104885
1999,18,7.72643E-05,1.27996E-05,-3.79306E-06,9.14104E-05
1999,19,9.64676E-05,5.42183E-06,1.48439E-05,7.41989E-05
1999,20,0.000179195,5.95227E-05,6.0272E-05,0.000115598
1999,21,8.57704E-05,-0.000108352,-5.39354E-05,-1.07586E-05
1999,22,6.70184E-05,-3.19443E-05,-0.000150725,-6.17595E-05
2000,-7,0.000235375,-3.08849E-05,-6.39791E-05,-0.000422276
2000,-6,0.000241375,-2.96131E-05,-6.29074E-05,-0.0004223
2000,-5,0.000240706,-3.1886E-05,-6.30425E-05,-0.000422571
2000,-4,0.000248252,-2.59276E-05,-5.89436E-05,-0.000417256
2000,-3,0.000267903,-2.19512E-05,-4.98668E-05,-0.000412427
2000,-2,0.000252053,-4.90396E-05,-7.18916E-05,-0.000429495
2000,-1,-0.001930528,-0.001930684,-0.001976896,-0.002248529
2000,0,-3.31342E-05,0.001906817,-2.29554E-05,-0.000303653
2000,1,-1.568E-05,2.27556E-05,0.002011152,-0.000244217
2000,2,-0.000109341,5.01123E-06,3.7015E-05,0.000314819
2000,3,-9.33659E-05,2.8674E-05,3.12219E-05,0.000321021
2000,4,-0.000100674,1.16082E-05,3.71899E-05,0.000308579
2000,5,-9.93019E-05,2.0708E-05,2.87333E-05,0.000309514
2000,6,-0.000101519,1.70099E-05,3.44024E-05,0.000304138
2000,7,-9.41749E-05,2.60313E-05,3.99855E-05,0.000310607
2000,8,-9.69306E-05,1.57544E-05,3.89686E-05,0.00030635
2000,9,-9.64672E-05,1.88955E-05,3.14371E-05,0.000305827
2000,10,1.51134E-05,0.000114361,0.00013027,0.00039464
2000,11,-9.43364E-06,-1.71208E-05,9.35292E-05,0.000353886
2000,12,-2.98601E-07,1.31872E-05,-1.09358E-05,0.000344673
2000,13,1.87985E-05,1.64847E-05,2.54647E-05,0.000312927
2000,14,0.000117221,8.64196E-05,9.57041E-05,0.000357613
2000,15,0.000104257,-2.81142E-05,5.34964E-05,0.000294158
2000,16,9.21049E-05,-2.26281E-05,-5.86129E-05,0.000235908
2000,17,0.00014178,2.74464E-05,-3.95871E-06,0.000208958
2000,18,0.000180187,1.26909E-05,3.33152E-05,0.000174535
2000,19,0.000345642,0.000120893,0.000124171,0.000257334
2000,20,0.000158793,-0.000214856,-0.000104243,4.61998E-06
2000,21,0.000121289,-6.20414E-05,-0.000297823,-9.73818E-05
2002,-9,0.001259273,-0.000163143,-0.000340346,-0.002220007
2002,-8,0.001295272,-0.000155512,-0.000333916,-0.002220154
2002,-7,0.001291258,-0.00016915,-0.000334726,-0.002221782
2002,-6,0.001336531,-0.000133399,-0.000310133,-0.002189887
2002,-5,0.001454439,-0.000109541,-0.000255672,-0.002160917
2002,-4,0.001359339,-0.000272071,-0.000387821,-0.002263325
2002,-3,0.001382769,-0.000167819,-0.000447752,-0.002276796
2002,-2,0.001373015,-0.000191861,-0.000367549,-0.002323068
2002,-1,-0.011617155,-0.011484742,-0.011661525,-0.013152922
2002,0,-0.000315636,0.011385751,-9.2203E-05,-0.001530517
2002,1,-0.000243809,0.000122123,0.012001563,-0.00120757
2002,2,-0.000757021,9.18156E-05,0.000266668,0.002165118
2002,3,-0.00074879,0.000146414,0.000215929,0.00217073
2002,4,-0.000762094,0.000124226,0.000249943,0.002138472
2002,5,-0.000718028,0.000178354,0.000283442,0.00217729
2002,6,-0.000734562,0.000116693,0.00027734,0.002151748
2002,7,-0.000731782,0.000135539,0.000232151,0.002148607
2002,8,-6.22979E-05,0.000708331,0.000825149,0.002681489
2002,9,-0.00020958,-8.05586E-05,0.000604704,0.002436964
2002,10,-0.00015477,0.000101289,-2.20859E-05,0.002381684
2002,11,-4.01874E-05,0.000121074,0.000196317,0.002191206
2002,12,0.00055035,0.000540684,0.000617753,0.002459323
2002,13,0.000472561,-0.000146519,0.000364507,0.002078597
2002,14,0.000399651,-0.000113602,-0.000308149,0.001729093
2002,15,0.000697704,0.000186845,1.97765E-05,0.001567395
2002,16,0.000928144,9.83115E-05,0.00024342,0.001360856
2002,17,0.001920873,0.000747522,0.000788558,0.001857651
2002,18,0.000799778,-0.001266972,-0.000581932,0.000341366
2002,19,0.000574754,-0.000350082,-0.001743411,-0.000270644
2004,-11,0.00073753,-9.39845E-05,-0.000197878,-0.001270907
2004,-10,0.000761529,-8.88972E-05,-0.000193591,-0.001271005
2004,-9,0.000758853,-9.79889E-05,-0.000194132,-0.00127209
2004,-8,0.000789035,-7.41553E-05,-0.000177736,-0.001250827
2004,-7,0.00086764,-5.82495E-05,-0.000141429,-0.001231514
2004,-6,0.00080424,-0.000166603,-0.000229528,-0.001299785
2004,-5,0.00081986,-9.71017E-05,-0.000269482,-0.001308766
2004,-4,0.000813358,-0.00011313,-0.000216014,-0.001339614
2004,-3,0.000899189,-4.56391E-05,-0.000165267,-0.001292362
2004,-2,0.000837456,-0.000164674,-0.00021468,-0.001354445
2004,-1,-0.007844589,-0.007666102,-0.007817917,-0.008596792
2004,0,-0.000277742,0.007631666,-3.17501E-05,-0.000836208
2004,1,-0.000288269,6.43292E-05,0.008020107,-0.000641977
2004,2,-0.000610048,9.75948E-05,0.000195648,0.001634745
2004,3,-0.00058067,0.00013368,0.00021798,0.001660624
2004,4,-0.000591693,9.25727E-05,0.000213913,0.001643596
2004,5,-0.00058984,0.000105137,0.000183787,0.001641503
2004,6,-0.000143517,0.000486998,0.000579119,0.001996757
2004,7,-0.000241706,-3.89282E-05,0.000432155,0.00183374
