ImportParcelID,PropertyZip,_pscore,_support,_weight
,91320,.4120494138338576,On support,1
,91320,.3860517726772187,On support,1
,91320,.4182831054412915,On support,1
,91320,.3901082277569679,On support,1
,91320,.2035316793118033,On support,1
,91320,.5174622211653062,On support,1
,91320,.2698442823728242,On support,1
,91320,.2286417493104368,On support,1
,91320,.1853886310997937,On support,1
,91320,.1315573457672706,On support,1
,91320,.1908869734164785,On support,1
,91320,.3908831373857817,On support,1
,91320,.1158030205752106,On support,1
,91320,.2798985080780448,On support,1
,91320,.2522076815727859,On support,1
,91320,.4493885586826475,On support,1
,91320,.4004791717488263,On support,1
,91320,.2791311244157346,On support,1
,91320,.1972963747086833,On support,1
,91320,.5360827467227116,On support,1
,91320,.3912569421793783,On support,1
,91320,.2263523550813584,On support,1
,91320,.2452698268672558,On support,1
,91320,.1887269278422188,On support,1
,91320,.4562763482404155,On support,1
,91320,.1169630926812137,On support,1
,91320,.5664067903381953,On support,1
,91320,.5206908469654548,On support,1
,91320,.4884994264026598,On support,1
,91320,.1608907678001526,On support,1
,91320,.5184004822707954,On support,1
,91320,.1738927849023959,On support,1
,91320,.136980418651116,On support,1
,91320,.5324022334177531,On support,1
,91320,.2474336497297573,On support,1
,91320,.1643647681202347,On support,1
,91320,.2579181539658559,On support,1
,91320,.1900893379943288,On support,1
,91320,.1404981586721964,On support,1
,91320,.2322665170837782,On support,1
,91320,.3006631941490468,On support,1
,91320,.6191227524642884,On support,1
,91320,.1264420872091369,On support,1
,91320,.1766789766008359,On support,1
,91320,.4021531768957318,On support,1
,91320,.1580901727553889,On support,1
,91320,.2572770145675054,On support,1
,91320,.3721789886842675,On support,1
,91320,.2838277624598709,On support,1
,91320,.2089081985776827,On support,1
,91320,.1679488255069792,On support,1
,91320,.1996588226583803,On support,1
,91320,.4294607526859765,On support,1
,91320,.1875806596147789,On support,1
,91320,.2966006082821503,On support,1
,91320,.3532467399308147,On support,1
,91320,.5472903739617392,On support,1
,91320,.3725659062667279,On support,1
,91320,.1442262755179742,On support,1
,91320,.1255510734617914,On support,1
,91320,.3762486158587522,On support,1
,91320,.2350338380174579,On support,1
,91320,.3100298731613846,On support,1
,91320,.0981111558477706,On support,1
,91320,.5353494175441916,On support,1
,91320,.1153599928231244,On support,1
,91320,.1968421064208123,On support,1
,91320,.235400339417397,On support,1
,91320,.539332452547936,On support,1
,91320,.2198672243978396,On support,1
,91320,.2677007153545857,On support,1
,91320,.2416456614359475,On support,1
,91320,.1199937411937113,On support,1
,91320,.4888506199141238,On support,1
,91320,.6637767559730084,On support,1
,91320,.1705374093263556,On support,1
,91320,.5663354556642426,On support,1
,91320,.2562087043650472,On support,1
,91320,.6583882464633445,On support,1
,91320,.3364254214676081,On support,1
,91320,.2824397010263673,On support,1
,91320,.082099576880505,On support,1
,91320,.1532723613566857,On support,1
,91320,.3409315447322164,On support,1
,91320,.1759500616896001,On support,1
,91320,.0300384118315176,On support,1
,91320,.1904121596736044,On support,1
,91320,.2020207635594168,On support,1
,91320,.3531511225702343,On support,1
,91320,.5120735804841854,On support,1
,91320,.4603083256556663,On support,1
,91320,.5876862234126953,On support,1
,91320,.3835860734775759,On support,1
,91320,.2125927886279005,On support,1
,91320,.1856477404958411,On support,1
,91320,.4187417837164066,On support,1
,91320,.2813434722886593,On support,1
,91320,.1702389306310005,On support,1
,91320,.2426983892355549,On support,1
,91320,.1275741064707266,On support,1
,91320,.4156349116148499,On support,1
,91320,.1447401990771577,On support,1
,91320,.6706796604922726,On support,1
,91320,.2000134947017369,On support,1
,91320,.3813546084330461,On support,1
,91320,.6772347301146387,On support,1
,91320,.1653217026180029,On support,1
,91320,.0981535082438858,On support,1
,91320,.1620981645748634,On support,1
,91320,.1544128823153885,On support,1
,91320,.3310573722337344,On support,1
,91320,.1575804266626637,On support,1
,91320,.3128295200351483,On support,1
,91320,.6756423889114144,On support,1
,91320,.187134274492892,On support,1
,91320,.6676819430251013,On support,1
,91320,.1596864830229885,On support,1
,91320,.1381264505438517,On support,1
,91320,.2447263928778151,On support,1
,91320,.4810352081273269,On support,1
,91320,.2561002472235702,On support,1
,91320,.2827545328092828,On support,1
,91320,.2917514701481544,On support,1
,91320,.6573905318879627,On support,1
,91320,.5836418141384274,On support,1
,91320,.1270371716521901,On support,1
,91320,.2163518225844488,On support,1
,91320,.5214680528199214,On support,1
,91320,.1999914346829714,On support,1
,91320,.1628636057017957,On support,1
,91320,.1413507720495659,On support,1
,91320,.2148453557865178,On support,1
,91320,.2808934156820303,On support,1
,91320,.6544901837418344,On support,1
,91320,.5436527133115578,On support,1
,91320,.3261857004728065,On support,1
,91320,.6003457082306216,On support,1
,91320,.166540620847358,On support,1
,91320,.1506929622946087,On support,1
,91320,.6618771168837809,On support,1
,91320,.384243165602065,On support,1
,91320,.6734833602154324,On support,1
,91320,.6779673120341558,On support,1
,91320,.2838163679709717,On support,1
,91320,.2056307931197581,On support,1
,91320,.4355670093019152,On support,1
,91320,.5109086034812741,On support,1
,91320,.2777241654929164,On support,1
,91320,.4335629574189243,On support,1
,91320,.2618336973149033,On support,1
,91320,.5445413747102067,On support,1
,91320,.2037877892027388,On support,1
,91320,.0834149524844469,On support,1
,91320,.1595300150387372,On support,1
,91320,.0749452240880757,On support,1
,91320,.3901117316786883,On support,1
,91320,.6392137199731369,On support,1
,91320,.1393147456576792,On support,1
,91320,.2160233317639658,On support,1
,91320,.2463326771706269,On support,1
,91320,.4105709582129463,On support,1
,91320,.1080817616069544,On support,1
,91320,.1644419351634132,On support,1
,91320,.2045409821127985,On support,1
,91320,.2176232116583472,On support,1
,91320,.6681519245761186,On support,1
,91320,.5192553850213539,On support,1
,91320,.4145607603528016,On support,1
,91320,.1534583563806977,On support,1
,91320,.1951535554378256,On support,1
,91320,.1380217439816651,On support,1
,91320,.6719185193622418,On support,1
,91320,.6721795188436553,On support,1
,91320,.3177302995439711,On support,1
,91320,.360678897165817,On support,1
,91320,.2387280083621354,On support,1
,91320,.124852639516446,On support,1
,91320,.6573905318879627,On support,1
,91320,.1951669716333714,On support,1
,91320,.3685355152852227,On support,1
,91320,.0482329757616235,On support,1
,91320,.2302085212629076,On support,1
,91320,.1156051149722606,On support,1
,91320,.6597560114574842,On support,1
,91320,.163927060913563,On support,1
,91320,.1453123301752766,On support,1
,91320,.4859550859903952,On support,1
,91320,.1857658189215553,On support,1
,91320,.1350182629825411,On support,1
,91320,.2239358115118923,On support,1
,91320,.2347991926129483,On support,1
,91320,.2071810360761344,On support,1
,91320,.1482338126161989,On support,1
,91320,.6777436517172385,On support,1
,91320,.1371344210129873,On support,1
,91320,.1352167044261698,On support,1
,91320,.1335204877173329,On support,1
,91320,.576528456080964,On support,1
,91320,.2374201489989096,On support,1
,91320,.4760181572157037,On support,1
,91320,.2148269139158077,On support,1
,91320,.1718955233134766,On support,1
,91320,.5096196358969315,On support,1
,91320,.2529413053076171,On support,1
,91320,.2161426502794788,On support,1
,91320,.0682349928550218,On support,1
,91320,.677659703151643,On support,1
,91320,.1727314981358986,On support,1
,91320,.1368458059351594,On support,1
,91320,.0375825422064304,On support,1
,91320,.1806338778874569,On support,1
,91320,.5354186091491726,On support,1
,91320,.367394191645292,On support,1
,91320,.0681126411464215,On support,1
,91320,.1454284633912545,On support,1
,91320,.5369945836772758,On support,1
,91320,.601480235402178,On support,1
,91320,.4065247049315945,On support,1
,91320,.1895470600950873,On support,1
,91320,.2245494209285591,On support,1
,91320,.5462329573978183,On support,1
,91320,.5457463701667393,On support,1
,91320,.1648502241940788,On support,1
,91320,.1720165798986207,On support,1
,91320,.1811995857046719,On support,1
,91320,.5445072650590624,On support,1
,91320,.1316323313945632,On support,1
,91320,.1857793453793996,On support,1
,91320,.5219738353530032,On support,1
,91320,.2819476417502129,On support,1
,91320,.3549173895873165,On support,1
,91320,.3457432331283875,On support,1
,91320,.5235787925748364,On support,1
,91320,.3942054338739435,On support,1
,91320,.4061958507825583,On support,1
,91320,.1616772634193974,On support,1
,91320,.2194668772699871,On support,1
,91320,.6586357906761344,On support,1
,91320,.4742246941812231,On support,1
,91320,.5613517784063693,On support,1
,91320,.2062152990276748,On support,1
,91320,.1348778038782675,On support,1
,91320,.4021676307890603,On support,1
,91320,.5428626305484215,On support,1
,91320,.1980030010224694,On support,1
,91320,.3356300116298947,On support,1
,91320,.2624192218034575,On support,1
,91320,.2658014816372565,On support,1
,91320,.5196044090978292,On support,1
,91320,.5587399287788425,On support,1
,91320,.232106073468799,On support,1
,91320,.5172227969953277,On support,1
,91320,.1196007945079485,On support,1
,91320,.2613260301854463,On support,1
,91320,.2602162314632303,On support,1
,91320,.5603340333814608,On support,1
,91320,.2253488356835167,On support,1
,91320,.0837571587987804,On support,1
,91320,.443009164469462,On support,1
,91320,.5663354556642426,On support,1
,91320,.6639310008135995,On support,1
,91320,.2033918910752675,On support,1
,91320,.1910685442929797,On support,1
