,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
405,2.346027,0.1506925,15.57   0.000,,2.050675,2.641379
406,2.232082,0.1365248,16.35   0.000,,1.964498,2.499665
407,1.871077,0.1434662,13.04   0.000,,1.589888,2.152266
408,1.87674,0.1162218,16.15   0.000,,1.64895,2.104531
409,1.687301,0.1218603,13.85   0.000,,1.448459,1.926143
410,1.660902,0.1259146,13.19   0.000,,1.414114,1.907691
411,1.654055,0.1270407,13.02   0.000,,1.40506,1.90305
412,1.808194,0.1255309,14.40   0.000,,1.562158,2.05423
413,1.951797,0.1175387,16.61   0.000,,1.721425,2.182169
414,2.250182,0.1291751,17.42   0.000,,1.997003,2.50336
415,2.22236,0.1267616,17.53   0.000,,1.973912,2.470808
416,2.298868,0.1508643,15.24   0.000,,2.003179,2.594557
417,2.403607,0.1274549,18.86   0.000,,2.1538,2.653414
418,2.609059,0.1530945,17.04   0.000,,2.308999,2.909119
419,2.81804,0.235257,11.98   0.000,,2.356944,3.279135
422,0.1836264,0.036727,5.00   0.000,,0.1116429,0.25561
423,0.2323544,0.035214,6.60   0.000,,0.1633362,0.3013726
424,0.2478115,0.0352649,7.03   0.000,,0.1786935,0.3169295
425,0.2331065,0.0353009,6.60   0.000,,0.1639179,0.3022951
426,0.2856663,0.0352875,8.10   0.000,,0.2165039,0.3548286
427,0.4657875,0.0349808,13.32   0.000,,0.3972263,0.5343486
428,0.5805775,0.0349254,16.62   0.000,,0.512125,0.64903
429,0.6862909,0.0349779,19.62   0.000,,0.6177355,0.7548462
430,0.8159228,0.0350237,23.30   0.000,,0.7472775,0.8845682
431,0.9846872,0.0350241,28.11   0.000,,0.9160411,1.053333
432,1.226319,0.0349738,35.06   0.000,,1.157772,1.294867
433,1.547178,0.0348355,44.41   0.000,,1.478901,1.615454
434,1.828137,0.0347809,52.56   0.000,,1.759967,1.896306
435,1.962703,0.0348609,56.30   0.000,,1.894377,2.031029
436,1.844019,0.0352285,52.34   0.000,,1.774972,1.913065
437,1.577838,0.0351174,44.93   0.000,,1.509009,1.646667
438,1.380877,0.03492,39.54   0.000,,1.312435,1.449319
439,1.468649,0.0349271,42.05   0.000,,1.400193,1.537105
440,1.479746,0.0348992,42.40   0.000,,1.411345,1.548147
441,1.517187,0.0349027,43.47   0.000,,1.448779,1.585595
442,1.726409,0.0349287,49.43   0.000,,1.65795,1.794869
443,1.853128,0.0350261,52.91   0.000,,1.784478,1.921778
444,1.94636,0.0349725,55.65   0.000,,1.877815,2.014905
445,2.058531,0.0349229,58.95   0.000,,1.990084,2.126979
446,2.156722,0.0349728,61.67   0.000,,2.088176,2.225267
447,2.273429,0.0350436,64.87   0.000,,2.204745,2.342113
448,2.321312,0.0350474,66.23   0.000,,2.252621,2.390004
449,2.413197,0.0350739,68.80   0.000,,2.344453,2.48194
450,2.572556,0.0353281,72.82   0.000,,2.503315,2.641798
451,0.6702613,0.065926,10.17   0.000,,0.5410486,0.799474
452,0.6859615,0.0640422,10.71   0.000,,0.5604411,0.8114819
453,0.6961726,0.0652724,10.67   0.000,,0.568241,0.8241042
454,0.876661,0.0607701,14.43   0.000,,0.7575538,0.9957681
455,1.179783,0.058201,20.27   0.000,,1.065711,1.293855
456,1.671519,0.055989,29.85   0.000,,1.561782,1.781255
457,2.020098,0.0514964,39.23   0.000,,1.919167,2.121029
458,2.188236,0.0505658,43.28   0.000,,2.089129,2.287343
459,2.063461,0.0584085,35.33   0.000,,1.948982,2.177939
460,1.772797,0.0527435,33.61   0.000,,1.669422,1.876173
461,1.365479,0.0500135,27.30   0.000,,1.267454,1.463503
462,1.442774,0.0529862,27.23   0.000,,1.338923,1.546626
463,1.374536,0.0547785,25.09   0.000,,1.267172,1.4819
464,1.403634,0.0624871,22.46   0.000,,1.281161,1.526106
465,1.546288,0.0677979,22.81   0.000,,1.413406,1.679169
466,1.759123,0.0565266,31.12   0.000,,1.648333,1.869913
467,1.839842,0.0597735,30.78   0.000,,1.722688,1.956996
468,1.830411,0.0575429,31.81   0.000,,1.717629,1.943192
469,2.033938,0.0610629,33.31   0.000,,1.914257,2.153619
470,2.19803,0.0684085,32.13   0.000,,2.063951,2.332108
471,2.274226,0.0641587,35.45   0.000,,2.148477,2.399974
472,2.433659,0.0756958,32.15   0.000,,2.285298,2.58202
473,2.586039,0.0769235,33.62   0.000,,2.435271,2.736806
474,0.6267776,0.1105958,5.67   0.000,,0.4100138,0.8435415
475,0.4793364,0.0516752,9.28   0.000,,0.3780547,0.580618
476,0.2911769,0.0588448,4.95   0.000,,0.1758431,0.4065107
477,0.4065315,0.0576206,7.06   0.000,,0.2935971,0.5194659
478,0.5075228,0.0490198,10.35   0.000,,0.4114458,0.6035999
479,0.6179205,0.0475489,13.00   0.000,,0.5247262,0.7111147
480,0.8363335,0.0476491,17.55   0.000,,0.7429431,0.929724
481,1.064809,0.0467638,22.77   0.000,,0.9731542,1.156465
482,1.160461,0.0501478,23.14   0.000,,1.062174,1.258749
483,1.270416,0.0477127,26.63   0.000,,1.1769,1.363931
484,1.327649,0.047995,27.66   0.000,,1.233581,1.421718
485,1.549924,0.0458727,33.79   0.000,,1.460015,1.639832
486,1.74882,0.0454502,38.48   0.000,,1.659739,1.837901
487,1.789399,0.0477219,37.50   0.000,,1.695865,1.882932
488,1.803226,0.0501367,35.97   0.000,,1.70496,1.901492
489,1.670547,0.0488211,34.22   0.000,,1.574859,1.766235
490,1.556307,0.0538576,28.90   0.000,,1.450748,1.661866
491,1.552553,0.0497164,31.23   0.000,,1.455111,1.649996
492,1.528418,0.0484526,31.54   0.000,,1.433453,1.623384
493,1.587528,0.0464807,34.15   0.000,,1.496428,1.678629
494,1.77862,0.0484733,36.69   0.000,,1.683614,1.873626
495,1.918512,0.0503978,38.07   0.000,,1.819735,2.01729
496,1.986428,0.0473749,41.93   0.000,,1.893575,2.079281
497,1.981625,0.0608611,32.56   0.000,,1.862339,2.100911
498,2.214319,0.0476154,46.50   0.000,,2.120995,2.307644
499,2.28549,0.0605309,37.76   0.000,,2.166852,2.404128
500,2.199643,0.0711744,30.90   0.000,,2.060143,2.339142
501,2.377384,0.0579745,41.01   0.000,,2.263756,2.491012
502,2.395663,0.0775691,30.88   0.000,,2.24363,2.547696
503,1.259225,0.1430557,8.80   0.000,,0.9788407,1.539609
504,1.418699,0.1329191,10.67   0.000,,1.158182,1.679216
505,1.934403,0.1293554,14.95   0.000,,1.680871,2.187935
506,2.319931,0.1174864,19.75   0.000,,2.089662,2.5502
507,2.187022,0.1345764,16.25   0.000,,1.923257,2.450787
508,2.25895,0.1811481,12.47   0.000,,1.903906,2.613994
509,1.988581,0.1574424,12.63   0.000,,1.679999,2.297162
510,1.707494,0.109608,15.58   0.000,,1.492667,1.922322
511,1.714835,0.1274022,13.46   0.000,,1.465131,1.964539
512,1.587899,0.1242265,12.78   0.000,,1.344419,1.831379
513,1.646584,0.1276684,12.90   0.000,,1.396358,1.896809
514,1.908148,0.1039668,18.35   0.000,,1.704377,2.111919
515,2.035451,0.1167583,17.43   0.000,,1.806609,2.264293
516,2.104794,0.1290738,16.31   0.000,,1.851814,2.357774
517,2.254985,0.1521259,14.82   0.000,,1.956823,2.553146
518,2.292578,0.1024126,22.39   0.000,,2.091853,2.493303
519,2.096554,0.1223052,17.14   0.000,,1.85684,2.336268
520,2.143081,0.2103157,10.19   0.000,,1.73087,2.555293
521,2.233008,0.157668,14.16   0.000,,1.923984,2.542031
522,0.7070585,0.0707102,10.00   0.000,,0.5684691,0.8456479
523,0.983438,0.069225,14.21   0.000,,0.8477594,1.119117
524,1.001871,0.077231,12.97   0.000,,0.850501,1.153241
525,1.320946,0.0702441,18.81   0.000,,1.18327,1.458622
526,1.412557,0.0781674,18.07   0.000,,1.259351,1.565762
527,1.778449,0.0631831,28.15   0.000,,1.654613,1.902286
528,1.889143,0.0689633,27.39   0.000,,1.753978,2.024309
529,2.162491,0.0692855,31.21   0.000,,2.026694,2.298288
530,2.069215,0.0784611,26.37   0.000,,1.915434,2.222996
531,1.818981,0.092199,19.73   0.000,,1.638274,1.999688
532,1.722024,0.0752385,22.89   0.000,,1.574559,1.869488
533,1.719592,0.0732997,23.46   0.000,,1.575928,1.863257
534,1.565918,0.064972,24.10   0.000,,1.438575,1.693261
535,1.585998,0.068159,23.27   0.000,,1.452409,1.719587
536,1.679852,0.0748423,22.45   0.000,,1.533164,1.826541
537,1.858685,0.0819626,22.68   0.000,,1.698041,2.019328
538,2.008852,0.0763317,26.32   0.000,,1.859245,2.158459
539,2.062394,0.0772173,26.71   0.000,,1.911051,2.213737
540,2.167104,0.0731044,29.64   0.000,,2.023822,2.310386
541,2.145538,0.0993061,21.61   0.000,,1.950901,2.340174
542,2.288384,0.0873712,26.19   0.000,,2.117139,2.459628
543,2.350869,0.1315049,17.88   0.000,,2.093124,2.608614
544,2.438958,0.2065427,11.81   0.000,,2.034141,2.843774
545,0.7882794,0.0456862,17.25   0.000,,0.6987359,0.8778228
546,0.8174904,0.0445187,18.36   0.000,,0.7302353,0.9047455
547,0.9227891,0.0430349,21.44   0.000,,0.8384422,1.007136
548,1.100966,0.0424246,25.95   0.000,,1.017816,1.184117
549,1.242349,0.0424951,29.24   0.000,,1.15906,1.325638
550,1.387061,0.0417422,33.23   0.000,,1.305248,1.468875
551,1.620555,0.0408694,39.65   0.000,,1.540453,1.700658
552,1.836535,0.0374156,49.08   0.000,,1.763202,1.909868
553,2.202884,0.0374316,58.85   0.000,,2.129519,2.276248
554,2.253484,0.0386759,58.27   0.000,,2.17768,2.329287
555,1.976745,0.0429075,46.07   0.000,,1.892648,2.060842
556,1.508418,0.0377646,39.94   0.000,,1.434401,1.582435
557,1.223195,0.0381156,32.09   0.000,,1.14849,1.2979
558,1.320257,0.0385745,34.23   0.000,,1.244653,1.395862
559,1.240911,0.0399436,31.07   0.000,,1.162623,1.319199
560,1.334527,0.0402856,33.13   0.000,,1.255568,1.413485
561,1.538977,0.0421727,36.49   0.000,,1.45632,1.621634
562,1.653043,0.0404697,40.85   0.000,,1.573724,1.732362
563,1.799809,0.0408167,44.09   0.000,,1.71981,1.879809
564,1.922633,0.0404427,47.54   0.000,,1.843367,2.001899
565,2.017503,0.0430414,46.87   0.000,,1.933143,2.101863
566,2.12285,0.0498403,42.59   0.000,,2.025165,2.220536
567,2.206565,0.0522384,42.24   0.000,,2.104179,2.30895
568,2.232741,0.0520629,42.89   0.000,,2.1307,2.334783
569,2.413824,0.0695049,34.73   0.000,,2.277596,2.550051
570,2.251143,0.1388379,16.21   0.000,,1.979026,2.523261
571,2.555566,0.1290236,19.81   0.000,,2.302684,2.808448
572,2.756353,0.1336461,20.62   0.000,,2.494412,3.018295
573,3.328209,0.1386559,24.00   0.000,,3.056449,3.59997
574,3.338235,0.1506066,22.17   0.000,,3.043051,3.633418
575,3.226371,0.169009,19.09   0.000,,2.895119,3.557622
576,2.767502,0.2220042,12.47   0.000,,2.332382,3.202623
577,1.97132,0.1839029,10.72   0.000,,1.610877,2.331764
578,2.254781,0.1892998,11.91   0.000,,1.883761,2.625802
579,2.153272,0.194731,11.06   0.000,,1.771606,2.534938
580,1.949559,0.2012607,9.69   0.000,,1.555095,2.344023
581,2.458336,0.1761967,13.95   0.000,,2.112997,2.803675
582,2.083124,0.2198075,9.48   0.000,,1.652309,2.513939
583,2.289924,0.1682967,13.61   0.000,,1.960069,2.61978
584,1.65072,0.1784762,9.25   0.000,,1.300913,2.000527
585,2.248811,0.2118842,10.61   0.000,,1.833525,2.664097
586,2.213277,0.3846425,5.75   0.000,,1.459391,2.967163
587,3.545504,0.3428226,10.34   0.000,,2.873584,4.217424
588,0,(omitted),,,,
589,1.624608,0.1454678,11.17   0.000,,1.339496,1.90972
590,1.999949,0.1109806,18.02   0.000,,1.782431,2.217467
591,2.114652,0.1074728,19.68   0.000,,1.904009,2.325295
592,2.13653,0.1339164,15.95   0.000,,1.874058,2.399001
593,2.337894,0.1639378,14.26   0.000,,2.016582,2.659206
594,2.032383,0.1542374,13.18   0.000,,1.730083,2.334683
595,1.984184,0.1137532,17.44   0.000,,1.761231,2.207136
596,1.754614,0.1339505,13.10   0.000,,1.492076,2.017152
597,2.01556,0.1291376,15.61   0.000,,1.762454,2.268665
598,1.888612,0.1026958,18.39   0.000,,1.687332,2.089892
599,1.891155,0.1477899,12.80   0.000,,1.601492,2.180818
600,1.998947,0.2178318,9.18   0.000,,1.572004,2.425889
601,2.236843,0.1396648,16.02   0.000,,1.963105,2.510581
602,2.107531,0.1850933,11.39   0.000,,1.744754,2.470307
603,2.278503,0.1214076,18.77   0.000,,2.040548,2.516458
604,2.448355,0.1809921,13.53   0.000,,2.093617,2.803093
605,2.176596,0.1465317,14.85   0.000,,1.889399,2.463793
606,2.657265,0.1068964,24.86   0.000,,2.447752,2.866778
607,2.677332,0.1142366,23.44   0.000,,2.453432,2.901232
608,0.6004017,0.0712554,8.43   0.000,,0.4607436,0.7400599
609,0.5669807,0.0465844,12.17   0.000,,0.475677,0.6582844
610,0.5779912,0.0524166,11.03   0.000,,0.4752565,0.680726
611,0.5750848,0.0471619,12.19   0.000,,0.482649,0.6675205
612,0.6380926,0.044336,14.39   0.000,,0.5511955,0.7249897
613,0.75163,0.0424453,17.71   0.000,,0.6684387,0.8348214
614,0.9204299,0.0411893,22.35   0.000,,0.8397002,1.00116
615,1.159214,0.042384,27.35   0.000,,1.076142,1.242285
616,1.392463,0.0430276,32.36   0.000,,1.30813,1.476795
617,1.527738,0.0411698,37.11   0.000,,1.447046,1.608429
618,1.642011,0.0400087,41.04   0.000,,1.563596,1.720427
619,1.908638,0.0398651,47.88   0.000,,1.830504,1.986772
620,2.145726,0.040381,53.14   0.000,,2.06658,2.224871
621,2.177499,0.0421229,51.69   0.000,,2.09494,2.260058
622,2.004052,0.0471278,42.52   0.000,,1.911683,2.096421
623,1.560223,0.0403075,38.71   0.000,,1.481222,1.639224
624,1.316289,0.0404044,32.58   0.000,,1.237098,1.39548
625,1.389263,0.0403599,34.42   0.000,,1.310159,1.468367
626,1.414623,0.0420345,33.65   0.000,,1.332236,1.497009
627,1.480468,0.0418091,35.41   0.000,,1.398524,1.562412
628,1.672553,0.045223,36.98   0.000,,1.583918,1.761189
629,1.818109,0.0428607,42.42   0.000,,1.734104,1.902115
630,1.909135,0.0419872,45.47   0.000,,1.826842,1.991429
631,2.008733,0.040702,49.35   0.000,,1.928959,2.088508
632,2.154138,0.0407246,52.90   0.000,,2.074319,2.233957
633,2.221759,0.0493447,45.03   0.000,,2.125045,2.318473
634,2.260822,0.0432831,52.23   0.000,,2.175989,2.345656
635,2.43916,0.0489336,49.85   0.000,,2.343252,2.535068
636,2.539389,0.0507908,50.00   0.000,,2.439841,2.638938
637,0.3919404,0.0625188,6.27   0.000,,0.2694057,0.5144751
638,0.4407152,0.0774741,5.69   0.000,,0.2888686,0.5925618
639,0.3452796,0.0823354,4.19   0.000,,0.183905,0.5066542
640,0.3923042,0.0693486,5.66   0.000,,0.2563835,0.528225
641,0.494593,0.0587655,8.42   0.000,,0.3794146,0.6097714
642,0.5656659,0.0531015,10.65   0.000,,0.4615887,0.6697431
643,0.7447765,0.0535349,13.91   0.000,,0.63985,0.849703
644,0.9635937,0.0510253,18.88   0.000,,0.8635859,1.063601
645,1.141965,0.0674297,16.94   0.000,,1.009805,1.274124
646,1.370405,0.0508761,26.94   0.000,,1.270689,1.47012
647,1.551036,0.0521364,29.75   0.000,,1.44885,1.653221
648,1.729781,0.0512367,33.76   0.000,,1.629359,1.830203
649,1.952174,0.0510732,38.22   0.000,,1.852072,2.052276
650,1.965013,0.052509,37.42   0.000,,1.862098,2.067929
651,1.927656,0.0562084,34.29   0.000,,1.81749,2.037822
652,1.704911,0.0527964,32.29   0.000,,1.601432,1.80839
653,1.520653,0.0496408,30.63   0.000,,1.423359,1.617947
654,1.553261,0.0491212,31.62   0.000,,1.456985,1.649537
655,1.478367,0.0500521,29.54   0.000,,1.380266,1.576467
656,1.531644,0.0513804,29.81   0.000,,1.43094,1.632348
657,1.804946,0.0547069,32.99   0.000,,1.697723,1.91217
658,1.899412,0.0577193,32.91   0.000,,1.786284,2.01254
659,1.992997,0.0586363,33.99   0.000,,1.878072,2.107922
660,2.058969,0.0622704,33.06   0.000,,1.936921,2.181016
661,2.128072,0.0503703,42.25   0.000,,2.029348,2.226796
662,2.130256,0.0928732,22.94   0.000,,1.948228,2.312284
663,2.257681,0.0626736,36.02   0.000,,2.134843,2.380519
664,2.264095,0.0666111,33.99   0.000,,2.13354,2.39465
665,2.418488,0.0883684,27.37   0.000,,2.245289,2.591687
666,0.1990707,0.0660111,3.02   0.003,,0.0696913,0.3284501
667,0.2878108,0.058023,4.96   0.000,,0.1740877,0.4015338
668,0.4905974,0.0575066,8.53   0.000,,0.3778866,0.6033082
669,0.8225616,0.0529626,15.53   0.000,,0.7187567,0.9263665
670,1.007323,0.0570704,17.65   0.000,,0.8954671,1.119179
671,1.169843,0.0538128,21.74   0.000,,1.064372,1.275315
672,1.448596,0.052156,27.77   0.000,,1.346372,1.55082
673,1.658766,0.0500819,33.12   0.000,,1.560607,1.756924
674,1.938224,0.0548175,35.36   0.000,,1.830783,2.045664
675,1.980929,0.0539064,36.75   0.000,,1.875274,2.086583
676,1.956702,0.0622152,31.45   0.000,,1.834762,2.078642
677,1.850655,0.0619917,29.85   0.000,,1.729153,1.972156
678,1.676237,0.057042,29.39   0.000,,1.564437,1.788037
679,1.53348,0.0572112,26.80   0.000,,1.421348,1.645612
680,1.494167,0.0540759,27.63   0.000,,1.38818,1.600154
681,1.45271,0.0579435,25.07   0.000,,1.339143,1.566277
682,1.459731,0.0630645,23.15   0.000,,1.336127,1.583335
683,1.700747,0.0715097,23.78   0.000,,1.56059,1.840903
684,1.868041,0.055342,33.75   0.000,,1.759573,1.97651
685,1.970316,0.0531845,37.05   0.000,,1.866077,2.074556
686,2.041463,0.0518306,39.39   0.000,,1.939877,2.143049
687,2.171871,0.0655367,33.14   0.000,,2.043421,2.30032
688,2.280937,0.066784,34.15   0.000,,2.150042,2.411831
689,2.522105,0.0661256,38.14   0.000,,2.392501,2.651709
690,2.46495,0.0750323,32.85   0.000,,2.317889,2.61201
691,0.262702,0.0435256,6.04   0.000,,0.1773933,0.3480106
692,0.321555,0.0420999,7.64   0.000,,0.2390406,0.4040693
693,0.3004925,0.0423173,7.10   0.000,,0.217552,0.383433
694,0.333196,0.04131,8.07   0.000,,0.2522299,0.4141622
695,0.407991,0.0409244,9.97   0.000,,0.3277805,0.4882014
696,0.6075254,0.0403565,15.05   0.000,,0.5284281,0.6866227
697,0.7357465,0.0401891,18.31   0.000,,0.6569773,0.8145157
698,0.8834635,0.0402341,21.96   0.000,,0.8046061,0.9623209
699,1.042432,0.0402364,25.91   0.000,,0.9635702,1.121294
700,1.191088,0.0400398,29.75   0.000,,1.112611,1.269564
701,1.413716,0.0401494,35.21   0.000,,1.335024,1.492407
702,1.69685,0.0401577,42.25   0.000,,1.618142,1.775558
703,1.88431,0.0401185,46.97   0.000,,1.805679,1.962941
704,1.971889,0.0402546,48.99   0.000,,1.892991,2.050786
705,1.864969,0.0408614,45.64   0.000,,1.784882,1.945056
706,1.646829,0.040825,40.34   0.000,,1.566813,1.726845
707,1.582422,0.0404941,39.08   0.000,,1.503054,1.661789
708,1.611885,0.0404213,39.88   0.000,,1.53266,1.691109
709,1.60097,0.0403385,39.69   0.000,,1.521908,1.680032
710,1.644321,0.0403655,40.74   0.000,,1.565206,1.723436
711,1.848221,0.0404554,45.69   0.000,,1.76893,1.927513
712,1.93083,0.0404326,47.75   0.000,,1.851584,2.010077
713,2.009465,0.040385,49.76   0.000,,1.930312,2.088619
714,2.07687,0.0406485,51.09   0.000,,1.997201,2.15654
715,2.149593,0.0401581,53.53   0.000,,2.070885,2.228302
716,2.235191,0.0403088,55.45   0.000,,2.156187,2.314194
717,2.259121,0.0398069,56.75   0.000,,2.181101,2.337141
718,2.326829,0.0403587,57.65   0.000,,2.247727,2.40593
719,2.4882,0.0405344,61.38   0.000,,2.408754,2.567646
720,0.4575635,0.0647144,7.07   0.000,,0.3307255,0.5844014
721,0.4270709,0.0432548,9.87   0.000,,0.3422929,0.5118488
722,0.4576521,0.0427466,10.71   0.000,,0.3738702,0.541434
723,0.5089706,0.0417352,12.20   0.000,,0.4271712,0.5907701
724,0.5706842,0.0391742,14.57   0.000,,0.4939041,0.6474643
725,0.6864762,0.0383984,17.88   0.000,,0.6112166,0.7617358
726,0.7852248,0.0373248,21.04   0.000,,0.7120696,0.85838
727,0.9968394,0.0363287,27.44   0.000,,0.9256363,1.068042
728,1.183452,0.0362541,32.64   0.000,,1.112395,1.254509
729,1.302648,0.0357557,36.43   0.000,,1.232568,1.372728
730,1.489859,0.0349645,42.61   0.000,,1.42133,1.558389
731,1.71239,0.0348489,49.14   0.000,,1.644088,1.780693
732,1.969894,0.0355123,55.47   0.000,,1.900291,2.039497
733,1.967331,0.0358582,54.86   0.000,,1.89705,2.037612
734,1.834119,0.0381676,48.05   0.000,,1.759312,1.908926
735,1.663356,0.0361466,46.02   0.000,,1.59251,1.734202
736,1.530482,0.0358346,42.71   0.000,,1.460247,1.600717
737,1.525245,0.0366055,41.67   0.000,,1.4535,1.59699
738,1.475314,0.0353911,41.69   0.000,,1.405949,1.544679
739,1.481858,0.0366946,40.38   0.000,,1.409938,1.553778
740,1.467172,0.0430372,34.09   0.000,,1.382821,1.551524
741,1.675105,0.0415269,40.34   0.000,,1.593714,1.756496
742,1.913963,0.0353728,54.11   0.000,,1.844633,1.983292
743,2.016907,0.0357043,56.49   0.000,,1.946928,2.086886
744,2.087317,0.0360872,57.84   0.000,,2.016587,2.158047
745,2.217156,0.0425361,52.12   0.000,,2.133787,2.300525
746,2.247452,0.0385326,58.33   0.000,,2.17193,2.322975
747,2.333115,0.0368874,63.25   0.000,,2.260817,2.405413
748,2.525853,0.0401919,62.84   0.000,,2.447079,2.604628
749,1.410545,0.1290568,10.93   0.000,,1.157598,1.663491
750,2.04847,0.1048002,19.55   0.000,,1.843065,2.253874
751,2.445282,0.1012554,24.15   0.000,,2.246825,2.643739
752,2.315013,0.1198867,19.31   0.000,,2.080039,2.549987
753,2.317096,0.1081232,21.43   0.000,,2.105178,2.529013
754,2.076255,0.1216953,17.06   0.000,,1.837736,2.314774
755,2.010318,0.1030763,19.50   0.000,,1.808292,2.212344
756,1.662463,0.1006703,16.51   0.000,,1.465152,1.859773
757,1.483633,0.1030531,14.40   0.000,,1.281653,1.685614
758,1.342381,0.0999078,13.44   0.000,,1.146565,1.538197
759,1.546981,0.0948302,16.31   0.000,,1.361117,1.732845
760,1.594774,0.1232498,12.94   0.000,,1.353209,1.836339
761,1.649889,0.1210537,13.63   0.000,,1.412628,1.88715
762,1.738847,0.1046529,16.62   0.000,,1.533731,1.943963
763,1.845249,0.1186535,15.55   0.000,,1.612692,2.077806
764,2.001335,0.120866,16.56   0.000,,1.764442,2.238228
765,2.180037,0.1361696,16.01   0.000,,1.913149,2.446924
766,2.068918,0.3055194,6.77   0.000,,1.470111,2.667726
767,2.615525,0.1516115,17.25   0.000,,2.318372,2.912678
768,0.5409137,0.0390851,13.84   0.000,,0.4643082,0.6175192
769,0.529442,0.0350785,15.09   0.000,,0.4606894,0.5981946
770,0.5141726,0.0352282,14.60   0.000,,0.4451265,0.5832187
771,0.5342432,0.0346813,15.40   0.000,,0.466269,0.6022173
772,0.540802,0.0346859,15.59   0.000,,0.4728189,0.6087851
773,0.656718,0.0342044,19.20   0.000,,0.5896787,0.7237573
774,0.7751934,0.0339355,22.84   0.000,,0.7086811,0.8417057
775,0.9252009,0.0339116,27.28   0.000,,0.8587354,0.9916664
776,1.082177,0.0338272,31.99   0.000,,1.015877,1.148477
777,1.233714,0.0338411,36.46   0.000,,1.167386,1.300041
778,1.471847,0.033714,43.66   0.000,,1.405769,1.537925
779,1.800923,0.0335826,53.63   0.000,,1.735103,1.866744
780,2.084005,0.0335555,62.11   0.000,,2.018237,2.149772
781,2.206891,0.0335734,65.73   0.000,,2.141088,2.272694
782,2.021337,0.0341593,59.17   0.000,,1.954385,2.088288
783,1.675545,0.0337344,49.67   0.000,,1.609427,1.741663
784,1.4422,0.0335661,42.97   0.000,,1.376412,1.507989
785,1.512796,0.0335978,45.03   0.000,,1.446945,1.578646
786,1.474193,0.0336182,43.85   0.000,,1.408303,1.540084
787,1.531942,0.0336917,45.47   0.000,,1.465908,1.597977
788,1.722117,0.0338149,50.93   0.000,,1.655841,1.788393
789,1.864165,0.033844,55.08   0.000,,1.797831,1.930498
790,1.93177,0.0337333,57.27   0.000,,1.865654,1.997886
791,2.028871,0.0337488,60.12   0.000,,1.962725,2.095018
792,2.125478,0.0337184,63.04   0.000,,2.059391,2.191565
793,2.216832,0.0338716,65.45   0.000,,2.150445,2.283219
794,2.298393,0.0338016,68.00   0.000,,2.232143,2.364643
795,2.387571,0.0338197,70.60   0.000,,2.321285,2.453856
796,2.585838,0.0343424,75.30   0.000,,2.518529,2.653148
797,0.3676991,0.0432037,8.51   0.000,,0.2830213,0.4523769
798,0.3823605,0.034934,10.95   0.000,,0.3138912,0.4508299
799,0.3497294,0.0356165,9.82   0.000,,0.2799224,0.4195365
800,0.4061323,0.0345242,11.76   0.000,,0.3384661,0.4737986
801,0.4511494,0.0338625,13.32   0.000,,0.38478,0.5175188
802,0.5187771,0.0333933,15.54   0.000,,0.4533275,0.5842268
803,0.6308044,0.0332614,18.97   0.000,,0.5656132,0.6959957
804,0.8174638,0.0328462,24.89   0.000,,0.7530865,0.8818411
805,1.019713,0.032766,31.12   0.000,,0.9554926,1.083933
806,1.171495,0.0331966,35.29   0.000,,1.106431,1.236559
807,1.431097,0.0324811,44.06   0.000,,1.367435,1.494759
808,1.721365,0.0321587,53.53   0.000,,1.658335,1.784395
809,1.968396,0.0321531,61.22   0.000,,1.905378,2.031415
810,1.974387,0.0325968,60.57   0.000,,1.910498,2.038275
811,1.810967,0.0331643,54.61   0.000,,1.745966,1.875968
812,1.470953,0.0322655,45.59   0.000,,1.407714,1.534192
813,1.283783,0.0323213,39.72   0.000,,1.220434,1.347131
814,1.325107,0.0323563,40.95   0.000,,1.26169,1.388524
815,1.219905,0.0323377,37.72   0.000,,1.156524,1.283286
816,1.289194,0.0324791,39.69   0.000,,1.225536,1.352852
817,1.535759,0.032812,46.80   0.000,,1.471449,1.60007
818,1.705748,0.0327248,52.12   0.000,,1.641609,1.769888
819,1.785252,0.0324992,54.93   0.000,,1.721555,1.84895
820,1.919283,0.0324252,59.19   0.000,,1.855731,1.982835
821,2.054892,0.0325078,63.21   0.000,,1.991177,2.118606
822,2.18367,0.0325752,67.03   0.000,,2.119824,2.247517
823,2.262435,0.031441,71.96   0.000,,2.200812,2.324059
824,2.334304,0.0315029,74.10   0.000,,2.27256,2.396049
825,2.495627,0.0317084,78.71   0.000,,2.43348,2.557775
826,1.089636,0.072291,15.07   0.000,,0.9479481,1.231324
827,1.36995,0.0702283,19.51   0.000,,1.232306,1.507595
828,1.563962,0.0725477,21.56   0.000,,1.421771,1.706153
829,1.588475,0.0783435,20.28   0.000,,1.434925,1.742026
830,1.733167,0.0697862,24.84   0.000,,1.596389,1.869945
831,1.917089,0.0694712,27.60   0.000,,1.780928,2.05325
832,2.148987,0.0685857,31.33   0.000,,2.014561,2.283412
833,2.155001,0.0763876,28.21   0.000,,2.005284,2.304718
834,2.049046,0.0743235,27.57   0.000,,1.903374,2.194717
835,1.669131,0.0694631,24.03   0.000,,1.532986,1.805277
