,,Robust,,,,
logprice,Coef.,Std. Err.,t    P>t,,[95% Conf.,Interval]
,,,,,,
hwvicinitypost1,-0.1277072,0.0979581,-2.22   0.026,,-0.4097016,-0.0257127
83,1.796135,0.0499627,35.95   0.000,,1.69821,1.89406
84,1.802665,0.0499143,36.12   0.000,,1.704835,1.900496
85,1.93802,0.0510188,37.99   0.000,,1.838025,2.038015
86,2.031851,0.0507722,40.02   0.000,,1.93234,2.131363
87,2.085507,0.0490374,42.53   0.000,,1.989395,2.181618
88,2.270525,0.0506132,44.86   0.000,,2.171325,2.369725
89,2.342875,0.050478,46.41   0.000,,2.24394,2.44181
90,2.401431,0.0573041,41.91   0.000,,2.289117,2.513745
91,2.079516,0.0660321,31.49   0.000,,1.950096,2.208937
92,2.087067,0.0666067,31.33   0.000,,1.95652,2.217613
93,2.317657,0.1184679,19.56   0.000,,2.085465,2.54985
94,0.6357079,0.0788015,8.07   0.000,,0.4812597,0.7901562
95,0.8514273,0.0681698,12.49   0.000,,0.717817,0.9850377
96,1.148324,0.072449,15.85   0.000,,1.006326,1.290321
97,1.619757,0.0624065,25.95   0.000,,1.497442,1.742071
98,2.180529,0.0583554,37.37   0.000,,2.066155,2.294904
99,2.355586,0.0665189,35.41   0.000,,2.225211,2.48596
100,2.174155,0.0666931,32.60   0.000,,2.043438,2.304871
101,1.996266,0.066685,29.94   0.000,,1.865565,2.126966
102,1.821677,0.0709373,25.68   0.000,,1.682642,1.960712
103,1.707346,0.0607159,28.12   0.000,,1.588345,1.826347
104,1.589595,0.060772,26.16   0.000,,1.470484,1.708706
105,1.48,0.0704362,21.01   0.000,,1.341947,1.618052
106,1.582399,0.0690153,22.93   0.000,,1.447132,1.717667
107,1.835671,0.0730064,25.14   0.000,,1.692581,1.978761
108,1.924788,0.0587565,32.76   0.000,,1.809627,2.039949
109,2.089764,0.0567637,36.82   0.000,,1.978509,2.201019
110,2.101588,0.0694723,30.25   0.000,,1.965425,2.237752
111,2.257449,0.1550403,14.56   0.000,,1.953576,2.561323
112,2.315077,0.1222067,18.94   0.000,,2.075556,2.554598
113,2.460866,0.1534275,16.04   0.000,,2.160154,2.761579
114,2.487125,0.0915111,27.18   0.000,,2.307766,2.666483
115,1.366621,0.1376273,9.93   0.000,,1.096877,1.636366
116,1.491922,0.0945998,15.77   0.000,,1.306509,1.677334
117,1.955747,0.0945509,20.68   0.000,,1.770431,2.141064
118,2.069025,0.1135798,18.22   0.000,,1.846413,2.291638
119,1.934514,0.1020859,18.95   0.000,,1.734429,2.134598
120,1.569836,0.1133776,13.85   0.000,,1.34762,1.792052
121,1.558367,0.1032525,15.09   0.000,,1.355996,1.760738
122,1.490227,0.1641294,9.08   0.000,,1.168539,1.811915
123,1.27199,0.1282758,9.92   0.000,,1.020574,1.523406
124,1.509667,0.1176367,12.83   0.000,,1.279103,1.74023
125,1.588951,0.1243829,12.77   0.000,,1.345165,1.832737
126,1.785013,0.1018958,17.52   0.000,,1.585301,1.984725
127,1.964046,0.1609637,12.20   0.000,,1.648563,2.279529
128,1.745013,0.0972491,17.94   0.000,,1.554408,1.935618
129,1.88147,0.0935611,20.11   0.000,,1.698093,2.064846
130,2.296589,0.1956309,11.74   0.000,,1.91316,2.680019
131,3.19243,0.5199007,6.14   0.000,,2.173443,4.211417
132,2.643113,0.5407396,4.89   0.000,,1.583282,3.702944
133,0,(omitted),,,,
134,0.3369514,0.0439239,7.67   0.000,,0.250862,0.4230408
135,0.3573729,0.0360693,9.91   0.000,,0.2866782,0.4280675
136,0.4082866,0.0361368,11.30   0.000,,0.3374597,0.4791135
137,0.4482112,0.0356539,12.57   0.000,,0.3783309,0.5180916
138,0.5043404,0.0350042,14.41   0.000,,0.4357334,0.5729473
139,0.6266108,0.0346267,18.10   0.000,,0.5587437,0.6944779
140,0.7715136,0.0345056,22.36   0.000,,0.7038838,0.8391434
141,1.048854,0.0344064,30.48   0.000,,0.9814183,1.116289
142,1.226978,0.0347215,35.34   0.000,,1.158926,1.295031
143,1.352871,0.034324,39.41   0.000,,1.285597,1.420145
144,1.498165,0.0341887,43.82   0.000,,1.431156,1.565174
145,1.710071,0.0340392,50.24   0.000,,1.643355,1.776786
146,1.9636,0.0340542,57.66   0.000,,1.896855,2.030345
147,1.999086,0.0344015,58.11   0.000,,1.93166,2.066512
148,1.881798,0.0348606,53.98   0.000,,1.813472,1.950123
149,1.503391,0.0344655,43.62   0.000,,1.43584,1.570942
150,1.269064,0.0343094,36.99   0.000,,1.201818,1.336309
151,1.354294,0.0344156,39.35   0.000,,1.286841,1.421748
152,1.294036,0.0343057,37.72   0.000,,1.226798,1.361274
153,1.397267,0.0346558,40.32   0.000,,1.329342,1.465191
154,1.629644,0.0345223,47.21   0.000,,1.561982,1.697307
155,1.821237,0.0345575,52.70   0.000,,1.753506,1.888968
156,1.886949,0.0346592,54.44   0.000,,1.819019,1.95488
157,1.999782,0.0346105,57.78   0.000,,1.931947,2.067617
158,2.128968,0.0345171,61.68   0.000,,2.061316,2.19662
159,2.25283,0.0347793,64.77   0.000,,2.184664,2.320996
160,2.270014,0.0361435,62.81   0.000,,2.199174,2.340854
161,2.356702,0.0355859,66.23   0.000,,2.286955,2.426449
162,2.515368,0.0370127,67.96   0.000,,2.442824,2.587911
163,1.085505,0.112945,9.61   0.000,,0.8641373,1.306874
164,1.419121,0.1180358,12.02   0.000,,1.187775,1.650467
165,1.855811,0.1159375,16.01   0.000,,1.628578,2.083045
166,1.91554,0.1000367,19.15   0.000,,1.719472,2.111609
167,2.054488,0.199417,10.30   0.000,,1.663637,2.445338
168,1.920588,0.1590945,12.07   0.000,,1.608768,2.232407
169,1.66777,0.1082548,15.41   0.000,,1.455595,1.879946
170,1.835354,0.0964272,19.03   0.000,,1.64636,2.024348
171,1.454241,0.1143691,12.72   0.000,,1.230081,1.6784
172,1.449361,0.1131055,12.81   0.000,,1.227678,1.671043
173,1.666751,0.1194481,13.95   0.000,,1.432637,1.900865
174,1.652233,0.106263,15.55   0.000,,1.443961,1.860504
175,1.680368,0.1020243,16.47   0.000,,1.480404,1.880332
176,1.751263,0.1038464,16.86   0.000,,1.547728,1.954798
177,1.888331,0.122836,15.37   0.000,,1.647577,2.129086
178,2.079333,0.1456954,14.27   0.000,,1.793775,2.364891
179,1.924769,0.3571146,5.39   0.000,,1.224837,2.624701
180,2.129404,0.2419771,8.80   0.000,,1.655137,2.603671
181,2.508244,0.3100847,8.09   0.000,,1.900489,3.115999
182,0.1764456,0.0862767,2.05   0.041,,0.0073463,0.3455449
183,0.2221849,0.052875,4.20   0.000,,0.1185518,0.325818
184,0.2977128,0.0543641,5.48   0.000,,0.1911611,0.4042645
185,0.2780012,0.0530028,5.25   0.000,,0.1741176,0.3818848
186,0.3473795,0.0488353,7.11   0.000,,0.251664,0.4430951
187,0.4400688,0.0474762,9.27   0.000,,0.347017,0.5331205
188,0.5301065,0.0454791,11.66   0.000,,0.440969,0.6192441
189,0.7374589,0.0444999,16.57   0.000,,0.6502407,0.8246771
190,0.9933129,0.0441888,22.48   0.000,,0.9067045,1.079921
191,1.150737,0.0426886,26.96   0.000,,1.067069,1.234405
