logprice,Coefficient,std. err.,t    P>t,,[95% conf.,interval]
,,,,,,
post,-0.0030469,0.0085824,-0.36   0.723,,-0.0198875,0.0137937
,,,,,,
month,,,,,,
1192,0.0391809,0.0107102,3.66   0.000,,0.0181651,0.0601966
1193,0.0095943,0.0120305,0.80   0.425,,-0.0140121,0.0332007
1194,0.1530286,0.057357,2.67   0.008,,0.0404818,0.2655755
1195,0.3531314,0.0353898,9.98   0.000,,0.2836891,0.4225738
1196,0.4995722,0.0345513,14.46   0.000,,0.431775,0.5673693
1197,0.6406205,0.042484,15.08   0.000,,0.5572578,0.7239832
1198,0.7537151,0.0719444,10.48   0.000,,0.6125446,0.8948855
1199,0.800233,0.087024,9.20   0.000,,0.6294733,0.9709928
1200,0.8116885,0.0774848,10.48   0.000,,0.6596466,0.9637303
1201,0.8915461,0.0895513,9.96   0.000,,0.7158272,1.067265
1202,1.018304,0.0948748,10.73   0.000,,0.8321393,1.204469
1223,-0.0845301,0.2081829,-0.41   0.685,,-0.4930296,0.3239695
1224,0,(omitted),,,,
1225,-0.3336236,0.2027716,-1.65   0.100,,-0.7315052,0.064258
1226,-0.1683669,0.188196,-0.89   0.371,,-0.537648,0.2009142
1227,0.0166554,0.1537224,0.11   0.914,,-0.284981,0.3182919
1228,0.0685501,0.1544897,0.44   0.657,,-0.2345919,0.3716922
1229,-0.0254126,0.1776064,-0.14   0.886,,-0.3739146,0.3230893
1230,0.0244892,0.1904848,0.13   0.898,,-0.3492829,0.3982612
1231,0.1827493,0.170844,1.07   0.285,,-0.1524833,0.517982
1253,-0.1129855,0.0145996,-7.74   0.000,,-0.1416331,-0.084338
1254,0,(omitted),,,,
1255,0.0781618,0.0211596,3.69   0.000,,0.0366422,0.1196814
1256,0.1769062,0.0176713,10.01   0.000,,0.1422312,0.2115811
1257,0.2680474,0.0266655,10.05   0.000,,0.2157239,0.320371
1258,0.2867812,0.0381343,7.52   0.000,,0.2119535,0.3616089
1259,0.3804935,0.0375403,10.14   0.000,,0.3068313,0.4541556
1260,0.6513968,0.0596495,10.92   0.000,,0.5343518,0.7684419
1279,0,(omitted),,,,
1280,0.2657161,0.0548338,4.85   0.000,,0.1581205,0.3733118
1281,0.3748229,0.063667,5.89   0.000,,0.2498946,0.4997513
1282,0.5141605,0.0265811,19.34   0.000,,0.4620027,0.5663182
1297,0,(omitted),,,,
1298,-0.0687964,0.0156664,-4.39   0.000,,-0.0995373,-0.0380554
1299,0.1596062,0.012921,12.35   0.000,,0.1342524,0.18496
1300,0.7286611,0.0219357,33.22   0.000,,0.6856187,0.7717036
1301,0.7660074,0.0231096,33.15   0.000,,0.7206613,0.8113534
1302,0.9670601,0.0341999,28.28   0.000,,0.8999526,1.034168
1303,0.981325,0.0272712,35.98   0.000,,0.927813,1.034837
1315,-2.475115,0.3169205,-7.81   0.000,,-3.096982,-1.853249
1316,-0.3227126,0.3157034,-1.02   0.307,,-0.9421906,0.2967655
1317,-0.4980405,0.3541409,-1.41   0.160,,-1.192941,0.1968601
1318,-0.4613914,0.2771972,-1.66   0.096,,-1.005312,0.0825291
1319,-0.0969946,0.2994875,-0.32   0.746,,-0.6846535,0.4906642
1320,-0.1322156,0.3844625,-0.34   0.731,,-0.8866138,0.6221825
1321,0,(omitted),,,,
1341,0,(omitted),,,,
1342,0.2129312,0.0108856,19.56   0.000,,0.1915714,0.234291
1343,0.3342687,0.0261324,12.79   0.000,,0.2829913,0.3855461
1344,0.4511564,0.0179104,25.19   0.000,,0.4160124,0.4863005
1345,0.439899,0.023933,18.38   0.000,,0.3929373,0.4868608
1346,0.4902913,0.0305598,16.04   0.000,,0.4303264,0.5502563
1347,0.5897052,0.032291,18.26   0.000,,0.5263434,0.653067
1348,0.7363795,0.0682153,10.79   0.000,,0.6025264,0.8702326
1349,0.5022231,0.1596333,3.15   0.002,,0.1889881,0.815458
1350,0.6385931,0.1731093,3.69   0.000,,0.2989154,0.9782709
1351,0.8330755,0.1216259,6.85   0.000,,0.5944193,1.071732
1362,-1.11611,0.1673245,-6.67   0.000,,-1.444437,-0.7877837
1363,-1.041066,0.1622619,-6.42   0.000,,-1.359458,-0.7226729
1364,-0.8475853,0.1598569,-5.30   0.000,,-1.161259,-0.5339117
1365,-0.9922814,0.1831335,-5.42   0.000,,-1.351629,-0.6329339
1366,-0.71074,0.1606853,-4.42   0.000,,-1.026039,-0.395441
1367,-0.4728339,0.1720867,-2.75   0.006,,-0.810505,-0.1351629
1368,-0.5855515,0.0997853,-5.87   0.000,,-0.7813518,-0.3897513
1369,-0.5219235,0.2170034,-2.41   0.016,,-0.9477308,-0.0961162
1370,0,(omitted),,,,
1386,0.398989,0.0316197,12.62   0.000,,0.3369443,0.4610336
1387,0.3639878,0.0389899,9.34   0.000,,0.2874813,0.4404943
1388,0.263452,0.0556186,4.74   0.000,,0.1543163,0.3725878
1389,0.1440112,0.0306264,4.70   0.000,,0.0839156,0.2041068
1390,0.2686913,0.0357853,7.51   0.000,,0.1984729,0.3389098
1391,0.42286,0.0359164,11.77   0.000,,0.3523842,0.4933358
1392,0.4916362,0.0402643,12.21   0.000,,0.412629,0.5706433
1393,0.6128506,0.0405413,15.12   0.000,,0.5332999,0.6924013
1394,0.6466526,0.0316033,20.46   0.000,,0.5846402,0.708665
1395,0.7600423,0.0334388,22.73   0.000,,0.6944281,0.8256565
1396,0.7848715,0.0329344,23.83   0.000,,0.7202472,0.8494958
1397,0.8038273,0.0368645,21.80   0.000,,0.7314912,0.8761635
1398,0.827679,0.0389528,21.25   0.000,,0.7512452,0.9041127
1399,0.9556223,0.0454482,21.03   0.000,,0.8664432,1.044801
1419,0,(omitted),,,,
1420,0.1024066,0.0077273,13.25   0.000,,0.0872441,0.1175691
1421,0.3927513,0.0159145,24.68   0.000,,0.3615237,0.423979
1422,0.5620245,0.0226983,24.76   0.000,,0.5174855,0.6065635
1423,0.669414,0.0237472,28.19   0.000,,0.6228169,0.7160111
1424,0.7597797,0.030806,24.66   0.000,,0.6993317,0.8202277
1425,0.876376,0.0384754,22.78   0.000,,0.800879,0.9518731
1426,0.8571251,0.0447253,19.16   0.000,,0.7693645,0.9448857
1427,0.8688533,0.0636926,13.64   0.000,,0.7438747,0.993832
1428,0.9317083,0.1443716,6.45   0.000,,0.6484202,1.214996
1447,0,(omitted),,,,
1448,0.2330621,0.0087088,26.76   0.000,,0.2159736,0.2501507
1449,0.4153132,0.0132404,31.37   0.000,,0.3893327,0.4412937
,,,,,,
lag20,0.0106481,0.0196429,0.54   0.588,,-0.0278955,0.0491916
lag19,0.0091389,0.0173602,0.53   0.599,,-0.0249255,0.0432033
lag18,-0.0026246,0.0212107,-0.12   0.902,,-0.0442445,0.0389953
lag17,0.0072746,0.018215,0.40   0.690,,-0.0284671,0.0430163
lag16,-0.0073543,0.0172477,-0.43   0.670,,-0.041198,0.0264893
lag15,0.0135361,0.0155311,0.87   0.384,,-0.0169392,0.0440115
lag14,-0.0042312,0.0170663,-0.25   0.804,,-0.0377189,0.0292566
lag13,-0.0054919,0.0164997,-0.33   0.739,,-0.0378679,0.0268841
lag12,0.0094329,0.0160573,0.59   0.557,,-0.0220749,0.0409407
lag11,0.0071631,0.0144775,0.49   0.621,,-0.0212449,0.0355711
lag10,-0.0039691,0.0158826,-0.25   0.803,,-0.0351342,0.0271961
lag9,0.0063627,0.016866,0.38   0.706,,-0.0267321,0.0394574
lag8,0.0166113,0.0147161,1.13   0.259,,-0.0122648,0.0454875
lag7,-0.0043332,0.0158698,-0.27   0.785,,-0.0354732,0.0268067
lag6,0.0179233,0.0141323,1.27   0.205,,-0.0098073,0.0456539
lag5,0.022505,0.0145562,1.55   0.122,,-0.0060574,0.0510673
lag4,0.0086751,0.0147513,0.59   0.557,,-0.0202701,0.0376202
lag3,0.031386,0.0149363,2.10   0.036,,0.0020778,0.0606942
lag2,0.0085796,0.0154672,0.55   0.579,,-0.0217703,0.0389295
lead0,0.0213252,0.0138965,1.53   0.125,,-0.0059426,0.0485931
lead1,0.0229644,0.0143021,1.61   0.109,,-0.0050994,0.0510281
lead2,0.013956,0.0140061,1.00   0.319,,-0.013527,0.041439
lead3,0.0135847,0.0169189,0.80   0.422,,-0.0196139,0.0467832
lead4,0.0109665,0.0147854,0.74   0.458,,-0.0180457,0.0399786
lead5,0.0038452,0.0170778,0.23   0.822,,-0.0296651,0.0373554
lead6,0.0308951,0.0148206,2.08   0.037,,0.0018139,0.0599763
lead7,0.0400764,0.0147105,2.72   0.007,,0.0112112,0.0689416
lead8,0.0045722,0.0168786,0.27   0.787,,-0.0285473,0.0376916
lead9,0.0527427,0.0162624,3.24   0.001,,0.0208323,0.0846532
lead10,0.0373567,0.017149,2.18   0.030,,0.0037066,0.0710068
lead11,0.0336326,0.0146467,2.30   0.022,,0.0048926,0.0623725
lead12,0.0313767,0.0160233,1.96   0.050,,-0.0000644,0.0628178
lead13,0.0410982,0.0170653,2.41   0.016,,0.0076124,0.0745839
lead14,0.02755,0.0155801,1.77   0.077,,-0.0030215,0.0581216
lead15,0.0580083,0.0174161,3.33   0.001,,0.0238341,0.0921825
lead16,0.0376515,0.0166823,2.26   0.024,,0.0049172,0.0703858
lead17,0.0309078,0.0199597,1.55   0.122,,-0.0082575,0.0700731
lead18,0.0645627,0.0186225,3.47   0.001,,0.0280213,0.1011042
lead19,0.05176,0.0198519,2.61   0.009,,0.0128064,0.0907137
lead20,0.0622972,0.0186876,3.33   0.001,,0.0256282,0.0989662
lead21,0.0457856,0.0207054,2.21   0.027,,0.0051571,0.0864141
lead22,0.0546021,0.0189911,2.88   0.004,,0.0173376,0.0918667
lead23,0.0535419,0.0207265,2.58   0.010,,0.0128721,0.0942117
lead24,0.0400573,0.0207967,1.93   0.054,,-0.0007502,0.0808648
lead25,0.029866,0.0225075,1.33   0.185,,-0.0142986,0.0740305
lead26,0.0679732,0.021811,3.12   0.002,,0.0251753,0.1107711
lead27,0.0347614,0.0309682,1.12   0.262,,-0.026005,0.0955277
lead28,0.0505291,0.0315063,1.60   0.109,,-0.0112931,0.1123513
lead29,0.0163689,0.0282368,0.58   0.562,,-0.0390377,0.0717754
lead30,0.0284944,0.0253807,1.12   0.262,,-0.0213079,0.0782967
lead31,0.0348022,0.0273117,1.27   0.203,,-0.0187892,0.0883936
lead32,0.0724006,0.0263348,2.75   0.006,,0.0207261,0.1240751
lead33,0.0783601,0.0256322,3.06   0.002,,0.0280641,0.1286561
lead34,0.0681404,0.0275174,2.48   0.013,,0.0141454,0.1221355
lead35,0.0549602,0.046335,1.19   0.236,,-0.0359591,0.1458795
lead36,0.0380349,0.0290277,1.31   0.190,,-0.0189237,0.0949936
lead37,0.0727158,0.0266225,2.73   0.006,,0.0204768,0.1249548
lead38,0.0413743,0.0319089,1.30   0.195,,-0.0212377,0.1039864
lead39,0.0551384,0.0296899,1.86   0.064,,-0.0031196,0.1133965
lead40,-0.0023451,0.0475985,-0.05   0.961,,-0.0957436,0.0910534
_cons,12.62481,0.0323753,389.95   0.000,,12.56128,12.68834
,,,,,,
sigma_u,0.83509051,,,,,
sigma_e,0.3201423,,,,,
rho,0.87186487,(fraction,of variance due,to,u_i),
