logprice,Coefficient,std. err.,t    P>t,,[95% conf.,interval]
,,,,,,
post,-0.0030469,0.0085824,-0.36   0.723,,-0.0198875,0.0137937
,,,,,,
month,,,,,,
305,0,(omitted),,,,
306,-0.0242286,0.1080039,-0.22   0.823,,-0.2361554,0.1876983
307,-0.0079415,0.1213046,-0.07   0.948,,-0.2459671,0.2300842
308,0.3925743,0.0354282,11.08   0.000,,0.3230566,0.4620921
319,0,(omitted),,,,
320,-0.0994117,0.0102912,-9.66   0.000,,-0.1196052,-0.0792182
321,0.0940387,0.0154491,6.09   0.000,,0.0637243,0.1243532
322,0.074777,0.0210204,3.56   0.000,,0.0335304,0.1160235
323,-0.0859661,0.024643,-3.49   0.001,,-0.134321,-0.0376111
324,0.3344322,0.0309933,10.79   0.000,,0.2736167,0.3952476
325,0.0090809,0.2300256,0.04   0.969,,-0.4422787,0.4604405
326,0,(omitted),,,,
327,-1.046958,0.1224048,-8.55   0.000,,-1.287142,-0.8067736
349,0.5801778,0.3322782,1.75   0.081,,-0.0718235,1.232179
350,0,(omitted),,,,
351,0.4128547,0.2632912,1.57   0.117,,-0.1037793,0.9294888
352,0.4360934,0.3459898,1.26   0.208,,-0.2428131,1.115
353,0.3823467,0.3696597,1.03   0.301,,-0.3430051,1.107699
354,0.4981685,0.3633575,1.37   0.171,,-0.2148171,1.211154
355,0.6460367,0.3931497,1.64   0.101,,-0.1254075,1.417481
356,0.8466769,0.386148,2.19   0.029,,0.0889714,1.604382
377,0,(omitted),,,,
378,0.2502769,0.1802403,1.39   0.165,,-0.1033934,0.6039472
379,0.1660342,0.0594278,2.79   0.005,,0.0494241,0.2826443
380,0.2110888,0.1119433,1.89   0.060,,-0.0085681,0.4307458
381,0.5013082,0.0381343,13.15   0.000,,0.4264805,0.5761359
392,0,(omitted),,,,
393,-0.5370151,0.0651665,-8.24   0.000,,-0.6648858,-0.4091444
394,-0.3967702,0.01728,-22.96   0.000,,-0.4306773,-0.3628631
395,-0.3080083,0.1254754,-2.45   0.014,,-0.5542181,-0.0617985
396,-0.0628404,0.1427846,-0.44   0.660,,-0.3430146,0.2173337
397,-0.2516875,0.0626497,-4.02   0.000,,-0.3746198,-0.1287553
398,0.0751822,0.0734887,1.02   0.307,,-0.0690184,0.2193829
399,0.3195301,0.0988336,3.23   0.001,,0.1255973,0.5134628
400,0.4483177,0.2480997,1.81   0.071,,-0.0385072,0.9351427
414,-0.3019332,0.0222189,-13.59   0.000,,-0.3455314,-0.258335
415,-0.6387784,0.0229822,-27.79   0.000,,-0.6838744,-0.5936824
416,-0.4830484,0.0168081,-28.74   0.000,,-0.5160295,-0.4500672
417,-0.3648083,0.01356,-26.90   0.000,,-0.391416,-0.3382005
418,-0.2061334,0.0091702,-22.48   0.000,,-0.2241273,-0.1881395
419,0,(omitted),,,,
432,0,(omitted),,,,
433,-0.0874656,0.2751186,-0.32   0.751,,-0.6273076,0.4523763
434,0.3479241,0.0728081,4.78   0.000,,0.2050589,0.4907894
435,0.2449359,0.072604,3.37   0.001,,0.1024712,0.3874005
436,0.0555528,0.0740699,0.75   0.453,,-0.0897882,0.2008938
437,0.2866251,0.0720206,3.98   0.000,,0.1453052,0.4279449
438,0.3471186,0.1246404,2.78   0.005,,0.1025474,0.5916898
439,0.2527059,0.0598161,4.22   0.000,,0.1353338,0.3700779
440,0.3733137,0.0337886,11.05   0.000,,0.3070131,0.4396142
441,0.4882978,0.0412105,11.85   0.000,,0.4074338,0.5691617
442,0.5840475,0.0246619,23.68   0.000,,0.5356556,0.6324394
443,0.6366023,0.0254783,24.99   0.000,,0.5866084,0.6865961
444,0.7307898,0.0262152,27.88   0.000,,0.6793499,0.7822296
445,0.8243198,0.0296076,27.84   0.000,,0.7662233,0.8824164
446,0.8625155,0.0337233,25.58   0.000,,0.7963431,0.9286879
447,0.9264884,0.0367218,25.23   0.000,,0.8544323,0.9985444
448,1.033891,0.042486,24.33   0.000,,0.9505244,1.117258
464,0,(omitted),,,,
465,0.0870373,0.0094467,9.21   0.000,,0.0685008,0.1055738
466,0.0936993,0.0103159,9.08   0.000,,0.0734574,0.1139412
467,0.269384,0.0504977,5.33   0.000,,0.1702967,0.3684713
468,0.331954,0.0787407,4.22   0.000,,0.1774478,0.4864602
469,0.5401609,0.0689161,7.84   0.000,,0.4049327,0.675389
470,0.6992192,0.0586829,11.92   0.000,,0.5840707,0.8143677
471,0.8146129,0.0973286,8.37   0.000,,0.6236332,1.005593
491,-0.4965486,0.1445136,-3.44   0.001,,-0.7801154,-0.2129818
493,0,(omitted),,,,
494,-0.1208778,0.3590868,-0.34   0.736,,-0.8254833,0.5837277
495,0.0407655,0.1586615,0.26   0.797,,-0.2705624,0.3520935
496,-0.0564706,0.1826005,-0.31   0.757,,-0.4147721,0.301831
497,0.0773079,0.1206236,0.64   0.522,,-0.1593814,0.3139973
498,0.0442901,0.1467633,0.30   0.763,,-0.243691,0.3322713
499,0.1251111,0.1409652,0.89   0.375,,-0.1514928,0.4017151
500,0.2318562,0.1486491,1.56   0.119,,-0.0598254,0.5235377
511,0,(omitted),,,,
512,-1.375518,0.6984699,-1.97   0.049,,-2.746066,-0.0049693
513,-0.1286654,0.0178636,-7.20   0.000,,-0.1637175,-0.0936132
514,0.1510083,0.2333894,0.65   0.518,,-0.306952,0.6089685
515,0.0705135,0.1298271,0.54   0.587,,-0.1842351,0.3252621
516,0.151974,0.1933269,0.79   0.432,,-0.2273751,0.531323
517,0.5458193,0.1323623,4.12   0.000,,0.2860959,0.8055426
518,0.0908314,0.2251575,0.40   0.687,,-0.350976,0.5326388
519,0.0592617,0.1788267,0.33   0.740,,-0.2916346,0.4101581
534,-0.8991328,0.3382118,-2.66   0.008,,-1.562777,-0.2354885
535,-1.14552,0.3163799,-3.62   0.000,,-1.766325,-0.5247143
536,-1.101199,0.3344731,-3.29   0.001,,-1.757507,-0.4448905
537,-0.7545691,0.2684734,-2.81   0.005,,-1.281372,-0.2277667
538,-0.7027118,0.2649843,-2.65   0.008,,-1.222668,-0.1827555
539,-0.6677391,0.2906878,-2.30   0.022,,-1.238131,-0.097347
540,-0.4151589,0.2183116,-1.90   0.057,,-0.8435333,0.0132155
541,-0.6488711,0.2721325,-2.38   0.017,,-1.182854,-0.1148886
542,0,(omitted),,,,
562,-0.108149,0.0237164,-4.56   0.000,,-0.1546858,-0.0616123
563,0,(omitted),,,,
564,-0.1102129,0.1065084,-1.03   0.301,,-0.3192053,0.0987794
565,0.0329465,0.0439635,0.75   0.454,,-0.0533193,0.1192124
